id,e,f
919,Construct Liege Lateral Loop 2 and Leismer East Compressor Station,Construction canalisation latérale de doublement Liege no 2 et station de compression Leismer East
920,Construct Alder Flats South No. 2 Meter Station,Construction de la station de comptage Alder Flats South no 2
921,Change Name from PanTerra to Ikkuma,Changement de dénomination sociale de PanTerra à Ikkuma
922,Increase MOP North Tank Field,Augmentation de la pression maximale d’exploitation dans le parc de réservoirs Nord
923,Construct Wildhay River South Meter Station,Construction de la station comptage Wildhay River South
924,Construct Japan Canada No. 2 Sales Meter Station,Construction de la station de comptage au point de vente Japan Canada no 2
925,Abandon Alsask A317Z9,Cessation d’exploitation du pipeline Alsask A317Z9
926,Deactivate Pembina Redwater Connection at Edmonton Terminal,Désactivation du raccordement Redwater de Pembina au terminal Edmonton
927,Upgrade Line 67 Phase 2 at Hardisty,Amélioration de la canalisation 67 à Hardisty – phase II
928,Deactivate Sikanni Sales Gas Pipeline,Désactivation du gazoduc au point de vente Sikanni
929,Deactivate Bullmoose Pipeline,Désactivation du pipeline Bullmoose
930,Replace Alaska Highway Pipe Segment,Remplacement du tronçon de l’autoroute de l’Alaska
931,Construct North South Connection,Construction liée au raccordement Nord-Sud
932,Replace Line 3,Remplacement de la canalisation 3
933,Amalgamate Pengrowth with NAL Energy Corp as Pengrowth Energy Corporation,Fusion de Pengrowth Corporation et NAL Energy Corp sous la dénomination Pengrowth Energy Corporation
934,Variance AO-002-MO-011-2012,Demande modification de l’ordonnance AO-002-MO-011-2012
935,Construct Livingstone Creek and Livingstone Creek No. 2 Meter Station,Construction des stations de comptage Livingstone Creek et Livingstone Creek no 2
936,Construct Cutbank River Lateral Loop No.2 and Musreau Lake North Meter Station,Construction de canalisation latérale Cutbank River no 2 et station de comptage Musreau Lake North
937,Variance SG-N081-001-2013,Demande de modification de l’ordonnance SG-N081-001-2013
938,Variance Manitoba Interconnect Condition 5,Demande d’exemption visant la condition 5 liée au projet d’interconnexion au Manitoba
939,Construct Wolf Lake Meter Station,Construction de la station de comptage Wolf Lake
940,Construct Calumet River Meter Stations,Construction des stations de comptage Calumet River
941,Variance Extend deadline,Demande de modification visant le report d’une échéance
942,Upgrade Woodenhouse Compressor Station Cooler,Amélioration liée au refroidisseur à la station de compression Woodenhouse
943,Decommission Piping and Facilities at Edmonton Terminal,Désaffectation de tuyauteries et d’installations au terminal Edmonton
944,Decommission Tank 11 at Edmonton Terminal,Désaffectation du réservoir 11 au terminal Edmonton
945,Construct Meikle River D and Goodfish Compressor Station,Construction des stations de compression Meikle River D et Goodfish
946,Construct Bear River No. 2 Meter Station,Construction de la station de comptage Bear River no 2
947,Abandon Pouce Coupe A Pipeline,Cessation d’exploitation du pipeline Pouce Coupé A
948,Construct Edmonton Terminal Expansion,Construction liée au projet d’agrandissement du terminal Edmonton
949,Variance XO-T260-011-2014 Condition 4 Extend deadline,Demande de modification de XO-T260-011-2014 pour le report de la date limite de la condition 4
950,Construct Yellowhead Meter Station,Construction de la station de comptage Yellowhead
951,Upgrade Facilities in Brazeau Area,Amélioration d’installations dans la région de Brazeau
952,Upgrade Facilities in Elk River Area,Amélioration d’installations dans la région d’Elk River
953,Construct Grey Owl Creek Meter Station,Construction de la station de comptage Grey Owl Creek
954,Construct Elk River Meter Station,Construction de la station de comptage Elk River
955,Deactivate Joarcam Connection at Edmonton Terminal,Désactivation du raccordement Joarcam au terminal Edmonton
957,Reactivate OD Sierra Pipeline,Réactivation du pipeline Sierra
958,Construct Goodrich Re-injection Pipeline Extension,Construction du prolongement du pipeline d’injection Goodrich
960,Construct Parkway West Connection,Construction du raccordement Parkway West
961,Construct Little Sundance Meter Station,Construction de la station de comptage Little Sundance
964,Construct Cynthia Meter Station,Construction de la station de comptage Cynthia
965,Construct Edson Tank 49 & Deactivate Tank 41,Construction du réservoir 49 et désactivation du réservoir 41 à Edson
966,Decommission Facilities and Piping at Edson Station,Désaffectation d’installations et de tuyauterie à la station Edson
968,Construct Warwick Southeast Storage Meter Station and Connection,Construction de la station de comptage et d’entreposage Warwick Southeast et du raccordement
969,Construct Greater Golden Horseshoe Facilities,Construction des installations Greater Golden Horseshoe
970,Construct Aitken Creek Processing Plant Control Room and Camp,Construction de la salle de contrôle et du baraquement de l’usine de traitement Aitken Creek
971,Construct Ansell South Meter Station,Construction de la station de comptage Ansell South
972,Construct North Montney,Construction liée au projet North Montney
973,Upgrade Monarch Interconnect Facility,Amélioration des installations interconnectées Monarch
974,Upgrade Alces River B2 and Saddle Hills Compressor Stations,Amélioration des stations de compression Alces River B2 et Saddle Hills
975,Construct Mackenzie Gathering System,Construction du réseau de collecte du Mackenzie
976,Relocate Sunrise Meter Station,Déplacement de la station de comptage Sunrise
977,Construct EnCana Custody Transfer Station,Construction de la station de transfert de propriété EnCana
978,Construct Septimus Meter Station,Construction de la station de comptage Septimus
979,Construct Bonanza Meter Station,Construction de la station de comptage Bonanza
980,Change Service Convert line 3 from Mixed Crude to Light Crude,Modification de service conversion de la canalisation 3 du pétrole brut mixte au pétrole brut léger
982,Construct Sunrise Meter Station,Construction de la station de comptage Sunrise
991,Leave to Open transmission of sour oil,Demande d’autorisation de mise en service du pipeline pour le transport de pétrole sulfureux
993,Change Owner from Ikkuma to CNRL,Cession de propriété d’Ikkuma à CNRL
994,Leave to Open Eastern Delivery System South,Demande d’autorisation de mise en service du réseau de livraison de l’Est (sud)
998,Deactivate Husky Connection at Hardisty Terminal,Désactivation du raccordement avec Husky au terminal de Hardisty
999,Construct Simonette Lateral Loop and Simonette East Meter Station,Construction doublement de canalisation latérale Simonette et station de comptage Simonette East
1007,Construct Minnow Lake West Meter Station,Construction de la station de comptage Minnow Lake West
1008,Construct Oil Storage Tank at Hardisty,Construction d’un réservoir de pétrole à Hardisty
1009,Construct Ante Creek Meter Station,Construction de la station de comptage Ante Creek
1010,Upgrade Crane Lake Sales Meter Station,Amélioration de la station de comptage au point de vente Crane Lake
1011,Construct 6-10-111-12W6 Riser Site,Construction à l’emplacement de colonne montante 6-10-111-12W6
1012,Variance Request for Review,Demande de modification visant une révision
1013,Construct HLU NPS 12 Loop,"Construction du doublement de 323,85 mm (NPS 12) de HLU"
1014,Construct NGTL 2017 System Expansion,Construction liée au projet d’agrandissement du réseau de NGTL en 2017
1015,Deactivate Tank 207 relief line at Sarnia Terminal,Désactivation du tuyau de décharge du réservoir 207 au terminal Sarnia
1016,Change Class Location NGTL Western Alberta System,Modification de la classe d’emplacement du réseau principal de l’Ouest de l’Alberta
1017,Decommission Meter Station 62,Désaffectation de la station de comptage 62
1018,Safety Order for Westcoast Gas Plants and Processing Facilities,Ordonnance de sécurité visant des usines à gaz et installations de traitement
1019,Deactivate Darfield to Kamloops pipeline section,Désactivation du tronçon pipelinier de Darfield à Kamloops
1020,Leave to Cross - Hibernia Express,Autorisation de croisement visant le câble Hibernia Express
1021,Construct Towerbirch Expansion,Construction liée au projet d’agrandissement Towerbirch
1022,Change Service Convert Pipeline from sour to saline water,Modification de service d’un pipeline du gaz naturel corrosif à l’eau salée de production
1023,Safety Order SG-N081-001-2014 Condition 4,Ordonnance de sécurité SG-N081-001-2014 liée à la condition 4
1024,Change Owner from Domtar to Windmill Dream Québec,Cession de propriété de Domtar à Windmill Dream Québec
1025,Deactivate Facilities at Hardisty Terminal,Désactivation d’installations au terminal Hardisty
1026,Construct Strachan North Meter Station,Construction de la station de comptage Strachan North
1027,Reactivate Husky Connection at Hardisty Terminal,Réactivation du raccordement avec Husky au terminal Hardisty
1028,Decommission Caribou Sales Taps and Associated Pipe,Désaffectation des raccords pour vente Caribou et de la canalisation connexe
1029,Variance Request for Relief,Demande de modification visant une exemption
1030,Decommission Juliet Creek Block Valve Crossover Assembly,Désaffectation des vannes de sectionnement au point de franchissement Juliet Creek
1031,Construct Prairie Tie-In,Construction du raccordement des Prairies
1032,"Variance XG-W102-02-2011, GPLO-W102-013-2012, and GPSO-W102-032-2012","Demande de modification des ordonnances XG-W102-02-2011, GPLO-W102-013-2012 et GPSO-W102-032-2012"
1034,Construct Minton Pump Station,Construction de la station de pompage Minton
1035,Construct  Aneroid Pump Station,Construction de la station de pompage Aneroid
1036,Construct Carnagh Pump Station,Construction de la station de pompage Carnagh
1037,Construct Condensate Border Pipeline,Construction d’un pipeline transfrontalier de condensats
1038,Decommission Crossover Piping Assembly,Désaffectation de tuyauterie à un point de franchissement
1039,Deactivate Aitken Liquids Line,Désactivation de la canalisation pour liquides Aitken
1040,Construct Valhalla North Meter Station,Construction de la station de comptage Valhalla North
1041,Construct Line 67 Bypass at Hardisty Terminal,Construction du contournement de la canalisation 67 au terminal Hardisty
1042,Abandon Idle International Power Line BSH106,Cessation d’exploitation de la ligne internationale de transport d’électricité inutilisée BSH106
1043,Construct Big Mountain Creek Facilities,Construction des installations Big Mountain Creek
1044,Variance AO-006-SG-N081-001-2014 Remove pressure restriction,Modification de l’ordonnance AO-006-SG-N081-001-2014 visant le retrait d’une restriction de pression
1045,Construct Station 130 B3 Unit,Construction de l’unité B3 à la station 130
1046,Deactivate Boundary Lake Solution Pipeline,Désactivation du productoduc Boundary Lake
1047,Construct Grey Owl Creek Meter Station,Construction de la station de comptage Grey Owl Creek
1048,Construct Gold Creek South Meter Station,Construction de la station de comptage Gold Creek South
1049,Variance XG-N081-021-2014 Condition 7,Demande de modification de l’ordonnance XG-N081-021-2014 visant la condition 7
1050,Deactivate Fireweed Lateral 1 Line,Désactivation du pipeline latéral Fireweed 1
1051,Deactivate Plains Midstream Canada,Désactivation du pipeline Plains Midstream Canada
1052,Construct Shady Oak North Meter Station,Construction de la station de comptage Shady Oak North
1053,Construct Crossing AB-SK Highway 17,Construction d’un croisement sous l’autoroute 17 Alberta-Saskatchewan
1054,Decommission  Zone 8 Segment 2 Lateral Loop,Désaffectation du tronçon 2 de la zone 8 du doublement de la canalisation latérale
1055,Change Owner segment of pipeline from Enbridge to Gibson,Cession de propriété d’un tronçon de pipeline d’Enbrige à Gibson
1056,Decommission portion Westcoast Flatrock Pipeline,Désaffectation d’un tronçon du pipeline Flatrock
1057,Deactivate Aurora NPS 8 pipeline,"Désactivation du pipeline de 219,08 mm (NPS 8) d’Aurora"
1058,Sublease Storage Tank - Enbridge,Sous-location d’un réservoir
1059,Deactivate EPWI Clean Oil Pipeline,Désactivation d’un pipeline
1060,Upgrade CS-6B Compressor Station,Amélioration de la station de compression CS-6B
1061,Replace Burnt River Meter Station,Remplacement de la station de comptage Burnt River
1062,Variance SG-N081-001-2014 Remove pressure restriction,Modification de l’ordonnance SG-N081-001-2014 visant le retrait d’une restriction de pression
1063,Change Class Location Edson Mainline Loop 2,Modification de classe d’emplacement de la canalisation principale Edson 2
1064,Construct Medicine Hat Compressor Station,Construction de la station de compression Medicine Hat
1065,Construct Jackfish Lake Expansion,Construction liée au projet d’agrandissement Jackfish Lake
1066,Matters related to inspection frequency - Enbridge,Questions relatives à la fréquence des inspections
1067,Decommission Pointed Mountain Pipeline crossing,Désaffectation du franchissement Pointed Mountain
1068,Deactivate Esther Oil Pipeline,Désactivation de l’oléoduc Esther
1069,Upgrade CS-8A Compressor Station,Amélioration de la station de compression CS-8A
1070,Corrective Action Plan for M&NP 2012 Audit,Plan de mesures correctives de M&NP pour l’audit de 2012
1071,Construct Regina Terminal Tank CRTK-124,Construction du réservoir CRTK-124 au terminal Regina
1072,Change Owner Ring Border and Boundary Pipelines from ConocoPhillips to CNRL,Cession de propriété des pipelines Ring Border et Boundary de ConocoPhillips à CNRL
1073,Variance AO-007-SG-N081-001-2014 Remove pressure restriction,Modification de l’ordonnance AO-007-SG-N081-001-2014 visant le retrait d’une restriction de pression
1074,Upgrade Windsor Terminal,Amélioration du terminal Windsor
1075,Variance MO-056-2015 Change anticipated transaction date,Demande de modification de la date prévue de passation aux termes de l’ordonnance MO-056-2015
1076,Construct Line 2 Transient at Kerrobert Terminal,Construction liée à des mesures d’atténuation transitoires pour la canalisation 2 à Kerrobert
1077,Deactivate Grizzly Extension,Désactivation du prolongement du gazoduc Grizzly
1078,Construct Northern System Sweetwater Pump Station,Construction de la station de pompage Sweetwater au réseau Nord
1079,Upgrade CS-9 Compressor Station,Amélioration de la station de compression CS-9
1080,Upgrade Regina South Bypass Mainline,Amélioration des installations du réseau principal au point de contournement Regina Sud
1081,Deactivate Cochin Spur Pipeline,Désactivation du pipeline Cochin Spur
1082,Change Owner Cactus-Bodo Pipeline from Pengrowth to Caltex,Cession de propriété du pipeline Cactus-Bodo de Pengrowth à Caltex
1083,Relocate Dewdney Spur and PTC Pipelines,Déplacement des pipelines Dewdney Spur et PTC
1084,Variance SG-N081-001-2014,Demande de modification de l’ordonnance SG-N081-001-2014
1085,Construct Musreau Lake North No. 2 Meter Station,Construction de la station de comptage Musreau Lake North no 2
1086,Deactivate portions of the Pointed Mountain and Beaver River Pipelines,Désactivation de certaines parties des pipelines Pointed Mountain et Beaver River
1087,Replace Line 10 Westover Segment,Remplacement du tronçon Westover de la canalisation 10
1088,Change Owner Tupper Pipeline from Murphy to Enbridge,Cession de propriété du pipeline Tupper de Murphy à Enbridge
1089,Upgrade Station 211 Compressor Station,Amélioration de la station de compression 211
1090,Variance SO-P384-001-2014 Condition 2b and 3b Extension,Demande de modification de SO-P384-001-2014 pour reporter l’échéance des conditions 2b) et 3b)
1091,Construct Ferrier West Meter Station,Construction de la station de comptage Ferrier West
1092,Construct Lodgepole Compressor Station Unit and Interconnect,Construction d’un motocompresseur et de l’interconnexion à la station de compression Lodgepole
1093,Variance Hydro One IPL,Demande de modification visant une ligne internationale de transport d’électricité
1094,Deactivate Burnt Cabin Creek Loop,Désactivation du doublement Burnt Cabin Creek
1095,Variance interim relief of OPR,Demande d’exemption provisoire d’une exigence réglementaire aux termes du RPT
1096,Change Owner Eastern Cochin Pipeline from Cochin to Utopia,Cession de propriété de la partie est du pipeline Cochin de Cochin à Utopia
1097,Construct  Pouce Coupé Lateral,Construction du pipeline latéral Pouce Coupé
1098,Upgrade Windsor Terminal,Amélioration du terminal Windsor
1099,"Variance MO-020-2014, MO-042-2015 and MO-043-2015","Demande de modification des ordonnances MO-020-2014, MO-042-2015 et MO-043-2015"
1100,Abandon Hallum Pipeline,Cessation d’exploitation du pipeline Hallum
1101,Construct Eastern Portion of the Cochin Pipeline,Construction de la partie est du pipeline Cochin
1102,Replace Lac La Hache 6AL2,Remplacement de la conduite 6AL2 à Lac La Hache
1103,Replace Kobes Creek Pipe Segment,Remplacement d’un tronçon du pipeline Kobes Creek
1104,Decommission crossover facilities on Transmission South and Mainline Loop,Désaffectation des installations de croisement reliées au réseau principal Sud et à son doublement
1105,Change Owner Border Pipeline System from HOL to HOOL and LBX,Cession de propriété du réseau transfrontalier de HOL à HOOL et LBX
1106,Deactivate redundant facilities at Edmonton Terminal,Désactivation d’installations redondantes au terminal Edmonton
1107,Upgrade Transmission South (7L),Amélioration de la canalisation Sud (7L)
1108,Construct Grand Rapids Connection,Construction du raccordement Grand Rapids
1109,Deactivate Pipeline 19,Désactivation du pipeline 19
1110,Deactivate Pipeline 18,Désactivation du pipeline 18
1111,Condition update- Compressor Station - NGTL,Mise à jour d’une condition relative à une station de compression
1112,Upgrade Emerson Extension Delivery Point,Amélioration des points de livraison à la canalisation principale de prolongement Emerson
1113,Change Owner Albersun Asset from Suncor to NGTL,Cession de propriété d’actifs du pipeline Albersun de Suncor à NGTL
1114,Construct Dawson Creek Meter Station,Construction de la station de comptage Dawson Creek
1115,Variance MO-011-2016 Condition 4,Demande de modification de la condition 4 de l’ordonnance MO-011-2016
1116,Abandon Marsden Salt Water Injection Pipeline,Cessation d’exploitation du réseau pipelinier d’injection d’eau salée Marsden
1117,Variance EC-III-2 and EC-III-3,Demande de modification visant les certificats EC-III-2 et EC-III-3
1118,Decommission Sales Tap and Piping,Désaffectation du raccord pour vente et de la tuyauterie connexe
1119,Deactivate Lone Rock Pipeline,Désactivation du pipeline Lone Rock
1120,Construct Boulder Creek South Lateral,Construction du pipeline latéral Boulder Creek South
1122,Construct Saint Sebastien Extension,Construction du prolongement Saint-Sébastien
1123,Decommission Stopple Tees  7L1 on Transmission South Mainline,Désaffectation des raccords en T sur la conduite 7L1 de la canalisation principale Sud
1124,Abandon NGTL 2015 Meter Stations and Laterals,Cessation d’exploitation de stations de comptage et de canalisations latérales en 2015
1125,Decommission Lac La Hache Facilities on T-South and Mainline Loop,Désaffectation d’installations à Lac La Hache sur la canalisation principale T-Sud et le doublement
1126,Change Class Location Several TQM Pipeline Segments,Changement de classe d’emplacement de plusieurs tronçons pipeliniers
1127,Relocate Northern System,Déplacement du réseau Nord
1128,Decommission section Northern System,Désaffectation d’une section du réseau Nord
1129,Deactivate John Lake/Fort Pitt,Désactivation du pipeline John Lake/Fort Pitt
1130,Abandon John Lake Pipeline,Cessation d’exploitation des pipelines John Lake
1131,Abandon Eyehill Pipeline,Cessation d’exploitation du pipeline Eyehill
1132,Change in Service Ladyfern Pipeline,Changement de service du pipeline Ladyfern
1133,Change Owner Boundary Lake from Spyglass to SanLing,Cession de propriété du pipeline Boundary Lake de Spyglass à SanLing
1134,Deactivate Monchy Pipeline,Désactivation du pipeline Monchy
1135,Deactivate station pumps and piping,Désactivation de pompes et de tuyauterie à une station
1136,Deactivate & Reactivate segment Cochin Pipeline and Associated Piping,Désactivation et réactivation d’un tronçon du pipeline Cochin et de la tuyauterie connexe
1137,"Upgrade work on PA27, BP76, PA301 and PA302 (EC-16) and (EC-III-20)","Amélioration des lignes internationales PA27, BP76, PA301 et PA302 (EC-16) et (EC-III-20)"
1138,Abandon Pesh-Petitot Pipeline,Cessation d’exploitation du pipeline Pesh-Petitot
1139,Variance AO-010-SG-N081-001-2014 Remove pressure restriction,Modification de l’ordonnance AO-010-SG-N081-001-2014 visant le retrait d’une restriction de pression
1140,Replace Angusmac Creek Crossing,Remplacement du franchissement du ruisseau Angusmac
1141,Construct Pine River Aerial Crossing,Construction du franchissement aérien de la rivière Pine
1142,Construct Grand Coulee West Interconnect,Construction de l’interconnexion Grand Coulee West
1143,Change Owner Goodlow pipeline from Suncor to Direct Energy,Cession de propriété du pipeline Goodlow de Suncor à Direct Energy
1144,Deactivate pipe segments and associated fittings,Désactivation de tronçons de canalisation et des raccords connexes
1145,Deactivate Cypress Merryflat Pipeline,Désactivation du pipeline Merryflat Cypress
1146,Construct Grand Rapids Increased Connectivity at Edmonton Terminal,Construction du projet d’amélioration du raccordement Grand Rapids au terminal Edmonton
1148,Deactivate Natural Gas Pipeline from Station B to Elmworth Gas Plant,Désactivation du gazoduc entre la station B et l’usine à gaz Elmworth
1149,Amalgamate PMEM ULC with PMC ULC as Plains Midstream Canada ULC,Fusion de PMEM ULC avec PMC ULC sous la dénomination Plains Midstream Canada ULC
1150,Deactivate Regent Coutts Gas Export Pipeline,Désactivation du gazoduc d’exportation Regent Coutts
1151,Deactivate West Cosine Pipeline,Désactivation du pipeline West Cosine
1152,Construct Whitewood Meter Station,Construction de la station de comptage Whitewood
1153,Upgrader Pipeline Pigging,Amélioration liée au raclage du pipeline
1154,Deactivate Marwayne Gathering System,Désactivation du réseau de collecte Marwayne
1155,Variance Order XO-E101-001-2016 Condition 5,Demande de modification visant la condition 5 de l’ordonnance XO-E101-001-2016
1157,"Deactivate Field Tanks 660, 661 and 662","Désactivation des réservoirs 660, 661 et 662 du parc de réservoirs"
1158,Construct  Pembina Redwater Manifold Expansion at Edmonton Terminal,Construction du projet d’agrandissement du collecteur Redwater de Pembina au terminal Edmonton
1159,Construct service along border - 28-45-28 Infill,Construction en vue de desservir le secteur longeant la frontière – terrain intercalaire 28-45-28
1160,Variance AO-001-SO-T217-03-2010,Ordonnance de sécurité modificatrice AO-001-SO-T217-03-2010
1161,Decommission Cochin Pipeline segments,Désaffectation de tronçons du pipeline Cochin
1162,Relocate Regina Bypass,Déplacement du contournement de Regina
1163,Increase MOP for Meter Stations,Augmentation de la pression maximale d’exploitation de stations de comptage
1164,Construct Wyndwood Pipeline,Construction du pipeline Wyndwood
1165,Construct Woodenhouse Compressor Station C3 Unit,Construction liée au motocompresseur C3 à la station de compression Woodenhouse
1166,Upgrade Riel IPL,Amélioration de la ligne internationale de transport d’électricité Riel
1167,Change Owner Pesh Creek from Spectra to CNRL,Cession de propriété d’actifs de Pesh Creek de Spectra à CNRL
1168,Reactivate Pesh Creek and Pesh Creek Loop,Réactivation du pipeline Pesh Creek et du doublement Pesh Creek
1169,Increase MOP Meikle River Unit B2 Compressor Station,Augmentation de la PME du motocompresseur B2 de la station de compression Meikle River
1170,Transfer Cochin Pipeline from Kinder Morgan to Plains,Cession du pipeline Cochin de Kinder Morgan à Plains
1171,Construct Lake Erie Connector,Construction du projet de raccordement sous le lac Érié
1172,Transfer Portion of Line EX-02 from Enbridge Bakken to Enbridge Westspur,Cession d’un tronçon de la canalisation EX-02 d’Enbridge Bakken à Enbridge Westspur
1173,Upgrade & Replace IPL L4D and L51D,Amélioration et remplacement des lignes internationales de transport d’électricité L4D et L51D
1174,Transfer Certificate and Orders from Enbridge Westspur to TEML,Transfert du certificat et des ordonnances d’Enbridge Westspur à TEML
1175,Deactivate Various Piping at Steelman area gathering system,Désactivation de tuyauterie au réseau de collecte dans la région Steelman
1176,Replace Coquihalla River Crossing 16,Remplacement du franchissement no 16 de la rivière Coquihalla
1177,Deactivate & Decommission segment of pipeline at Edmonton Terminal,Désactivation et désaffectation d’un tronçon de pipeline au terminal Edmonton
1178,Deactivate Keyera Rimbey Connection at Edmonton Terminal,Désactivation du raccordement Rimbey de Keyera au terminal Edmonton
1179,Deactivate IOL Sarnia Connection at Edmonton Terminal,Désactivation du raccordement Sarnia d’IOL au terminal Edmonton
1180,Deactivate dual NPS 10 Regina Lateral,"Désactivation du double latéral Regina de 273,05 mm (NPS 10)"
1181,Replace Boundary Lake Pipe Segments,Remplacement de tronçons du pipeline Boundary Lake
1182,Construct Veresen Empress Pipeline,Construction du pipeline Veresen Empress
1183,Decommission Crossover Assemblies,Désaffectation d’ouvrages de franchissement
1184,Decommission Facility Piping at Burnaby Terminal,Désaffectation de tuyauterie au terminal Burnaby
1185,Relocate Facility Piping and Related Infrastructure at Burnaby Terminal,Déplacement de tuyauterie d’installations et de l’infrastructure connexe au terminal Burnaby
1186,Decommission Enbridge Tank 16 at Edmonton Terminal,Désaffectation du réservoir 16 au terminal Edmonton
1187,Relocate Facility Piping at Edmonton Terminal,Déplacement de tuyauterie d’installations au terminal Edmonton
1188,Decommission Facility Piping at Edmonton Terminal,Désaffectation de tuyauterie d’installations au terminal Edmonton
1189,Decommission Alida NGL Booster Pump,Désaffectation de la pompe de surpression Alida
1190,Deactivate Line 3 Injection Piping,Désactivation des tuyaux d’injection de la canalisation 3
1191,Upgrade CS-9 Compressor Station,Amélioration de la station de compression CS-9
1192,Upgrade Iroquois Export Bi-Directional-TCPL,Amélioration de la station de comptage Iroquois (exportation) en vue d’un écoulement bidirectionnel
1193,Construct Meter Bank 2 at Edmonton Terminal,Construction de la rangée de compteurs 2 au terminal Edmonton
1194,Construct Ottawa Sales Meter Station,Construction de la station de comptage au point de vente Ottawa
1195,Construct Richmond North Sales Meter Station,Construction de la station de comptage au point de vente Richmond North
1196,Construct Petrogas Receipt Connection,Construction du raccordement au point de réception Petrogas
1197,Construct Grey Owl Creek Meter Station Expansion No. 3,Construction liée au projet d’agrandissement de la station de comptage Grey Owl Creek no 3
1198,Change Owner Dawn Extension Pipeline assets from TCPL to GLGT,Cession de propriété d’actifs pipeliniers du prolongement Dawn de TCPL à GLGT
1199,Decommission Coquihalla Aerial Crossing,Désaffectation de la traverse aérienne de la rivière Coquihalla
1200,Deactivate Connection Manifold at Kerrobert Terminal,Désactivation du raccordement pipelinier avec le collecteur au terminal Kerrobert
1201,Construct Tony Creek No. 2 Meter Station,Construction de la station de comptage Tony Creek no 2
1202,Variance XG-C357-09-2010,Demande de modification de l’ordonnance XG-C357-09-2010
1203,Construct Sundre Crossover,Construction du pipeline de croisement Sundre
1204,Variance AO-001-MO-025-2016 and MO-025-2016 Class Location Change,Demandea de modification AO-001-MO-025-2016 et MO-025-2016 - modification de classe d’emplacement
1205,Construct Tundra Cromer Virden and Waskada Expansion,Construction liée à l’agrandissement des pipelines Virden et Waskada au terminal Cromer de Tundra
1206,Decommission section of Line 12,Désaffectation de la canalisation 12
1207,Upgrade Nanticoke Sales Meter Station,Amélioration de la station de comptage au point de vente Nanticoke
1208,Replace Gravenhurst Pipe,Remplacement de la conduite Gravenhurst
1209,Relocate Adjacent to Cornwall Road,Déplacement d’une canalisation adjacente au chemin Cornwall
1210,Leave to Open Meikle River D Compressor Station,Demande d’autorisation de mise en service de la station de compression Meikle River D
1211,Variance AO-002-SO-T217-03-2010,Demande de modification de l’ordonnance AO-002-SO-T217-03-2010
1212,Replace Line 7 Sarnia Pipe,Remplacement de la conduite Sarnia de la canalisation 7
1213,Decommission two Crossover Assemblies,Désaffectation de deux ouvrages de franchissement
1214,Decommission two Crossover Assemblies,Désaffectation de deux ouvrages de franchissement
1215,Variance No. EC-51,Demande de modification liée au certificat no EC-51
1216,Deactivate 3 Line,Désactivation de la canalisation 3
1217,Transfer Mid-Continent Pipeline from Many Islands to Pine Cliff,Cession de propriété de Mid-Continent Pipelines de Many Islands à Pine Cliff
1218,Increase MOP Unity Pipeline,Augmentation de la pression maximale d’exploitation du pipeline Unity
1219,Deactivate Marwayne Pipeline,Désactivation du pipeline Marwayne
1220,Leave to Open Goodfish Compressor Station,Demande d’autorisation de mise en service de la station de compression Goodfish
1221,Construct Resthaven Meter Station,Construction de la station de comptage Resthaven
1222,Construct Beaver River Barrel Supply Line,Construction de la conduite d’alimentation du sas de départ du pipeline Beaver River
1223,Change Class Location 6AL1 Segment,Modification de classe d’emplacement du tronçon 6AL1
1224,Construct Grey Owl Creek North Meter Station,Construction de la station de comptage Grey Owl Creek North
1225,Deactivate interim relief three sections of pipelines,Exemption provisoire des exigences de désactivation prescrites pour trois sections de pipeline
1226,Decommission MML1 Connection,Désaffectation du raccordement de la MML1
1227,Decommission Clairmont Meter Station,Désaffectation de la station de comptage Clairmont
1228,Construct Christina Lake North Meter Station,Construction de la station de comptage Christina Lake North
1229,Decommission Boundary Lake Pipeline Connection,Désaffectation d’un raccordement le long du pipeline Boundary Lake
1230,Abandon Various NGTL Pipelines and Facilities,Cessation d’exploitation de stations de comptage et de pipelines latéraux sur le réseau
1231,Decommission Receipt Point Piping,Désaffectation de tuyauterie à un point de réception sur le pipeline
1232,Construct Saturn No. 2 Meter Station,Construction de la station de comptage Saturn no 2
1233,Construct Minnow Lake West Meter Station,Construction de la station de comptage Minnow Lake West
1234,Transfer Goodlow Pipeline from Canlin to CQ Energy,Cession de propriété du pipeline Goodlow de Canlin à CQ Energy
1235,Construct Wildrose Meter Station,Construction de la station de comptage Wildrose
1236,Upgrade Ipiatik Lake Sales Meter Station,Amélioration de la station de comptage au point de vente Ipiatik Lake
1237,Construct Macklin Compressor Station,Construction de la station de compression Macklin
1238,Construct Gibsons Heavy Connection at Hardisty,Construction du raccordement Gibsons pour la réception de pétrole brut lourd à Hardisty
1239,Construct Bonanza Meter Station,Construction de la station de comptage Bonanza
1240,Variance XG-C9-14-99,Demande de modification de l’ordonnance XG-C9-14-99
1241,Replace Line 21 Segment,Remplacement d’un tronçon de la canalisation 21
1242,Deactivate Keyera Rimbey Connection at Edmonton Terminal,Désactivation du raccordement Rimbey de Keyera au terminal Edmonton
1243,Construct Edmonton Terminal 2012 Phase I,Construction liée au projet d’agrandissement du terminal Edmonton en 2012 – phase I
1244,Deactivate Peace River Pipeline Segment,Désactivation d’un tronçon du pipeline Peace River
1245,Construct Southern Lights Connector and Manifold 213 Extension,Construction du prolongement du connecteur et du collecteur 213 de Southern Lights
