,Event Number,Event Type,Applicable Regulations,Company Name,Damage Prevention Program Changed,Further Action Required,Equipment Type,Was Pipe Contacted,Was Pipe Damaged,Was There Damage To Pipe Coating,Was There Damage To Pipe Body,Will An Engineering Assessment Be Required,Was The Determination Whether There Was Damage To Pipe Made By Competent Person,Date Event Occurred,Who Discovered The Event,Method Of Discovery,Warning Signs Visible,Distance From Activity To The Nearest Pipe Signage,Final Submission Date,Is There Immediate Concern For Safety Of Pipeline Employee Or General Public,Pipeline Name,Pipeline Outside Diameter (mm),Length Of Pipeline (km),Commodity Carried,Province/ Territory Where Event Occurred,Latitude,Longitude,Did Person Obtain Company Written Consent To Operate Across Pipeline,Crossing Agreement,Other Agreement,Was The Vehicle Or Mobile Equipment Used To Perform An Agricultural Activity,Was The Point Of Crossing Subject To A Notification Under Section 7 Of The Damage Prevention Regulations,Type Of Vehicle Or Mobile Equipment,Did The Pipeline Company Complete Surface Load Analysis,Ground Disturbance Type,Type Of Equipment That Caused The Ground Disturbance,Distance From Centreline Of Pipeline To Ground Disturbance,Distance From Centreline Of Pipeline To Ground Disturbance Unit of Measure,Depth Of Activity,Depth Of Activity Unit of Measure,Depth Of Cover Prior To Activity,Depth Of Cover Prior To Activity Unit of Measure,Did The Activity Result In Removal Of Earth Cover Over The Pipeline Right Of Way,Reduction Of Depth Of Cover After Activity,Reduction Of Depth Of Cover After Activity Unit of Measure,Did A Person Obtain Company Written Consent For The Ground Disturbance,Did A Person Make A Locate Request In Accordance With Section 3 Of The DPR,Written Consent Issued,Start Without Inspector,Pipeline Marked,Locate Request Made,Was The Pipe Located Prior To The Ground Disturbance,Did A Person Obtain Information That Is Referred To Paragraph 6(1)(A) And (C) Or Of DPR For Construction Of Facility,"Was The Construction Of A Facility Across,On,Along,Or Under The Pipeline Right Of Way",Type Of Facility,Distance From Centreline Of Pipeline To Construction Of Facility,Distance From Centreline Of Pipeline To Construction Of Facility Unit of Measure,Did A Person Obtain Company Written Consent For The Construction Of The Facility,Did Person Make Request In Accordance With Section 3 Of DPR Authorizations,Was The Pipe Located Prior To The Construction Of Facility,Did A Person Obtain Information That Is Referred To Paragraph 6(1)(a) and (c) or Of DPR For Ground Disturbance,Has Gouge On Physical Pipe,Gouge Width,Gouge Length,Gouge Depth,Gouge Depth Unit Of Measurement,Gouge Location (Clock Location),Has Dent On Physical Pipe,Dent Width,Dent Length,Dent Depth,Dent Depth Unit Of Measurement,Dent Location (Clock Location),Dent Has Interactions With Mill Or Field Weld,Dent Has Presence Of Corrosion,Dent Has Presence Of Stress Concentrators,Dent Strain (Percentage),Has Other Damage On Physical Pipe,Has The Damage Been Mitigated,Have The Interim Measured Been Taken,How Damage Was Caused,List Of Ground Disturbance Measures,List Of Construction of Facility Measures,Basic Causes,Immediate Causes,Preventive Corrective Actions
381,DPR2023-250,Damage to Pipe,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,TransCanada Keystone Pipeline GP Ltd.,,,Not Specified,,Yes,Yes,Yes,No,Yes,Not Specified,2nd party (contractor working for the regulated company),Other,,Greater than 30 metr,09/13/2023,No,Not Specified,Not Specified,Not Specified,Not Specified,Saskatchewan,50.33,-103.68,,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,Yes,662.0,390.0,0.0,mm,3.0,Yes,175.0,252.0,2.0,mm,3.0,No,No,Yes,-0.21,Yes,Mitigation has been completed,Not Specified,During an activity that caused a ground disturbance within the prescribed area,,,Historical Damage (cause unknown),Historical Damage (cause unknown),"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Repair/replacement; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - No tier 1 preventive actions taken; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
382,UX2009-008,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,01/13/2009,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.27,-122.95,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,UX2009-009,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,01/07/2009,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.27,-122.95,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,UX2009-010,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,01/02/2009,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,52.12,-119.3,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,DPR2023-251,Ground Disturbance; Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,Trans Québec and Maritimes Pipeline Inc.,,,Directional Drill,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,09/13/2023,1st party (regulated company),Site visit,,10-30 metres,09/14/2023,No,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.52,-73.98,No,,,Yes,Yes,Not Specified,Yes,Other,Directional Drill,18.0,metres,30.0,centimetres,1.5,metres,No,Not Specified,,No,No,,,,,Not Specified,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,Job or System Factors - Inadequate work planning/preparation and/or work execution - Inadequate assessment of needs and risks; Personal Factors - Lack of knowledge - Lack of situational awareness,Notification Issue - No notification made to One Call centre; Written Consent Issue - Failure to obtain written consent,"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Pipe located; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide CER damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide pipeline company damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review CER damage prevention materials with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review pipeline company damage prevention materials with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Worker specific action; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - Event data included in holistic analysis to determine if company-wide processes or procedures require modification; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
386,UX2008-119,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Enbridge Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,11/07/2008,,,Not Specified,,01/29/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.73,-73.67,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,UX2008-120,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Enbridge Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,09/07/2008,,,Not Specified,,01/23/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.58,-74.12,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,UX2009-001,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,02/04/2009,,,Not Specified,,02/11/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,53.56,-114.17,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,UX2009-002,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,02/18/2009,,,Not Specified,,02/26/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.17,-121.81,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,UX2009-011,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,01/19/2009,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.1,-122.01,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,UX2008-121,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,09/09/2008,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.22,-122.84,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,UX2008-122,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,10/11/2008,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.07,-122.23,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,UX2008-123,Vehicle Crossing,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,10/26/2008,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,50.85,-120.3,,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,UX2008-124,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,10/29/2008,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.07,-122.08,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,UX2008-125,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,11/06/2008,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.12,-121.95,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,UX2008-126,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,11/05/2008,,,Not Specified,,02/27/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.26,-122.9,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,UX2009-012,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,03/13/2009,,,Not Specified,,03/16/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.26,-122.9,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,UX2009-013,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Not Specified,Not Specified,,No,,,,Not Specified,,03/18/2009,,,Not Specified,,03/23/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Saskatchewan,50.49,-105.93,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,UX2009-014,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,03/31/2009,,,Not Specified,,03/31/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.37,-121.51,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,UX2009-015,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,03/31/2009,,,Not Specified,,03/31/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.18,-122.7,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,UX2009-016,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,04/15/2009,,,Not Specified,,04/20/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.09,-122.09,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,UX2009-017,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,04/15/2009,,,Not Specified,,04/20/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.26,-122.87,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,UX2009-018,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,04/28/2009,,,Not Specified,,04/29/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.14,-122.5,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,UX2009-019,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Kinder Morgan Cochin ULC,Not Specified,Not Specified,,No,,,,Not Specified,,03/19/2009,,,Not Specified,,03/23/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Saskatchewan,49.39,-102.43,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,UX2009-020,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Québec and Maritimes Pipeline Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,03/04/2009,,,Not Specified,,04/22/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.69,-73.52,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,UX2009-021,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,05/12/2009,,,Not Specified,,05/12/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,50.06,-120.85,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,UX2009-022,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,05/12/2009,,,Not Specified,,05/12/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.14,-121.93,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,UX2009-023,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",TransCanada PipeLines Limited,Not Specified,Not Specified,,No,,,,Not Specified,,05/06/2009,,,Not Specified,,05/14/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Manitoba,49.56,-97.01,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,UX2009-024,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",NOVA Gas Transmission Ltd.,Not Specified,Not Specified,,No,,,,Not Specified,,05/14/2009,,,Not Specified,,05/14/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,53.72,-111.14,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,UX2009-025,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Specified,Not Specified,,No,,,,Not Specified,,05/11/2009,,,Not Specified,,05/13/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.18,-121.85,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,UX2009-026,Vehicle Crossing,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Specified,Not Specified,,No,,,,Not Specified,,02/14/2009,,,Not Specified,,05/26/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,56.19,-122.08,,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,UX2009-027,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,05/21/2009,,,Not Specified,,05/21/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,53.53,-113.89,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,UX2009-028,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,02/25/2009,,,Not Specified,,05/26/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,52.92,-119.36,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,UX2009-029,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Specified,Not Specified,,No,,,,Not Specified,,02/05/2009,,,Not Specified,,05/29/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,56.95,-122.09,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,UX2008-127,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Specified,Not Specified,,No,,,,Not Specified,,09/17/2008,,,Not Specified,,05/29/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,56.54,-121.26,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,UX2009-030,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans-Northern Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,05/19/2009,,,Not Specified,,05/22/2009,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.61,-73.73,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,UX2009-031,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,05/07/2009,,,Not Specified,,06/02/2009,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.38,-121.39,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,DPR2022-182,Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,Maritimes & Northeast Pipeline Management Ltd.,,,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,08/10/2022,1st party (regulated company),Site visit,,Greater than 30 metr,08/12/2022,No,Not Specified,Not Specified,Not Specified,Not Specified,Nova Scotia,44.9,-63.44,No,,,No,Not Specified,Not Specified,Yes,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Factors - Lack of knowledge - Unaware of regulation,Written Consent Issue - Failure to obtain written consent,"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Event notification letter from pipeline company to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide CER damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide pipeline company damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review CER damage prevention materials with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review pipeline company damage prevention materials with all parties; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - No tier 1 preventive actions taken; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
419,DPR2022-183,Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ,Trans Québec and Maritimes Pipeline Inc.,,,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1st party (regulated company),Site visit,,Greater than 30 metr,08/12/2022,No,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.95,-73.35,No,,,No,Not Specified,Not Specified,Yes,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Job or System Factors - Inadequate leadership and/or supervision - Providing inadequate policy, procedure, practices or guidelines; Job or System Factors - Inadequate work planning/preparation and/or work execution - Inadequate assessment of needs and risks",Notification Issue - Insufficient or incorrect notification made to One Call centre; Written Consent Issue - Failure to obtain written consent,"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Pipe located; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide CER damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide pipeline company damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review CER damage prevention materials with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review conditions of written consent with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review pipeline company damage prevention materials with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Worker specific action; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - Event data included in holistic analysis to determine if company-wide processes or procedures require modification; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
420,DPR2022-184,Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,Trans Québec and Maritimes Pipeline Inc.,,,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1st party (regulated company),Site visit,,Less than 10 metres,08/12/2022,No,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.29,-72.34,No,,,No,Not Specified,Not Specified,Yes,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Job or System Factors - Inadequate work planning/preparation and/or work execution - Inadequate assessment of needs and risks; Personal Factors - Lack of knowledge - Unaware of regulation,Written Consent Issue - Failure to obtain written consent,"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide pipeline company damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review CER damage prevention materials with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review conditions of written consent with all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review pipeline company damage prevention materials with all parties; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - Event data included in holistic analysis to determine if company-wide processes or procedures require modification; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
