EnglishProjectName,ProjectShortName,CS10FolderName,CS10FolderId
Enbridge OPR s. 45 application  to partially reactivate a portion of the 24-inch pipeline from Flint Hills Resources Canada to Enbridge’s Hardisty Terminal.,Enbridge OPR s. 45 application  to partially react,ESIM Migration 1300008397,8397.0
Enbridge Pembina Nipisi Heavy Receipt Connection Project,Enbridge Pembina Nipisi Heavy Receipt Connection P,2010-12-10 - Application for the Pembina Nipisi Heavy Receipt Connection Project,658006.0
Enbridge Pipeliens (Westspur) s. 44 application to deactivate EPWI Clean Oil Pipeline,Enbridge Pipeliens (Westspur) s. 44 application to,2015-10-08 Application for Deactivation of AL08-3 and IG-03 at the Alida Gathering System,2856948.0
"Enbridge Pipeline (NW) Inc incident on 05/09/2011 at Wrigley, NWT  KP 380 - Release of Product",Enbridge Pipeline (NW) Inc incident on 05/09/2011 ,,4954.0
Enbridge Pipeline Inc. s. 44  OPR Application for Deactivation - Line 3 Injection Piping Deactivation at Cromer Terminal,Deactivation - Line 3 Injection Piping Cromer,2017-02-16 Application for Deactivation of Line 3 Injection Piping at Cromer Terminal,3173273.0
Enbridge Pipeline Inc. s. 44 Application to deactivate redundant facilities at Edmonton Terminal,Enbridge Pipeline Inc. s. 44 Application to deacti,2016-04-12 - Application to Deactivate Redundant Facilities at Edmonton Terminal,2949077.0
Enbridge Pipeline Inc. s. 58 application  - Eastern Access Edmonton Terminal Connectivity Phase 2 (EAE_TC2) Project,Enbridge Pipeline Inc. s. 58 application  - Easter,2013-02-22 - Application for the Eastern Access Edmonton Terminal Connectivity Phase 2,925427.0
Enbridge Pipeline Inc. s. 58 application -  Line 3 Replacement Project,Enbridge Pipeline Inc. s. 58 application -  Line 3,2013-02-27 - Application for the Line 3 Replacement Project,927381.0
Enbridge Pipeline Inc. s. 58 Application for Line 2 Transient Mitigation at Kerrobert,Enbridge Pipeline Inc. s. 58 Application for Line ,2015-12-11 Application for Line 2 Transient Mitigation at Kerrobert,2882539.0
Enbridge Pipelines (NW) Inc s. 45 application to Decommission Redundant Facilities at Norman Wells Station and IJ Crude Oil Injection Facility,Enbridge Pipelines (NW) Inc s. 45 application to D,2013-04-05 - Application to Decommission Redundant Facilities at Norm Wells Station and IJ Crude Oil Injection Facility (KM 839.200),941611.0
Enbridge Pipelines (NW) Inc. application to deactivate assets at Wrigley station.,Wrigley Station Deactivation,2021-12-01 - Application for the Wrigley Station Deactivation Project,4157486.0
Enbridge Pipelines (NW) Inc. application to deactivate assets at Wrigley station.,Deactivation at Wrigley Station,,4157486.0
Enbridge Pipelines (NW) Inc. s. 44 OPR application to deactivate all but the southern-most portion (KP839.2 to Zama) of the Line 21 pipeline.,Line 21 Deactivation,,3393485.0
Enbridge Pipelines (NW) s. 58 application for 5 projects for construction,Enbridge Pipelines (NW) s. 58 application for 5 pr,ESIM Migration 1000037090,2978.0
Enbridge Pipelines (Westpur) Inc. s. 58 application to install a new metering facility at Steelman Terminal - Steelman Terminal Metering Upgrade Project (the Project),Enbridge Pipelines (Westpur) Inc. s. 58 applicatio,2013-02-08 - Application for the Steelman Terminal Metering Upgrade Project,917945.0
Enbridge Pipelines (Westpur) OPR s. 44 application to deactivate portion of NPS 12 Pipeline,Enbridge Pipelines (Westpur) OPR s. 44 application,ESIM Migration 1000039124,3178.0
Enbridge Pipelines (Westpur) OPR s. 45 application for Reactivation at Alida Terminal,Enbridge Pipelines (Westpur) OPR s. 45 application,2009-03-18 - Application for Reactivation at the Alida Truck Off-loading Facility,551606.0
Enbridge Pipelines (Westpur) s. 58 application  for Installation of an NGL Flare Site at Cromer Termin,Enbridge Pipelines (Westpur) s. 58 application  fo,2008-01-14 - Application for installation of an NGL Flare Site at Cromer Terminal,493827.0
Enbridge Pipelines (Westpur) s. 58 application for the construction of Midale Terminal Capacity Expansion,Enbridge Pipelines (Westpur) s. 58 application for,ESIM Migration 1000042108,3253.0
Enbridge Pipelines (Westspur) Inc. s. 21 applicaiton for relief of condition 5 Manitoba Interconnect Project,Enbridge Pipelines (Westspur) Inc. s. 21 applicait,2014-07-07 - Application for the Manitoba Interconnect Project,2484804.0
Enbridge Pipelines (Westspur) Line EX01 Deactivation,Enbridge Pipelines (Westspur) Line EX01 Deactivati,2010-12-20 - Application for Deactivation NPS 8 Pipeline,659161.0
"Enbridge Pipelines and Westover Express Pipelines s. 21, s.74(1)a and b for the Sale and Purchase of Line 10",Enbridge Westover Line 10 Sale,2018-05-08 - Application for the Sale and Purchase of Line 10 from Enbridge Pipelines Inc. to Westover Express Pipeline Limited,3562780.0
Enbridge Pipelines Inc - Kinder Morgan Expansion Project,Enbridge - Kinder Morgan Expansion,,3901098.0
Enbridge Pipelines Inc s. 44 Application to Deactivate Tank 207 relief line at Sarnia Terminal,Enbridge Pipelines Inc s. 44 Application to Deacti,2015-05-07 Application to Deactivate Tank 207 Relief Line at Sarnia Terminal,2774379.0
Enbridge Pipelines Inc s. 58 application - Hardisty Tank 47 Connectivity,Enbridge Pipelines Inc s. 58 application - Hardist,2013-02-08 - Application for the Hardisty Tank 47 Connectivity,917755.0
Enbridge Pipelines Inc. - application  to Deactivate the Husky Terminal Connection to Lines 2 and 3.,Deactivation of Husky Terminal Connection ,,4157684.0
Enbridge Pipelines Inc. - Application for Variance to Order X0-E101-023-2013,Enbridge Pipelines Inc. - Application for Variance,2013-06-05 - Application for the Line 7 Capacity Expansion Project,961593.0
Enbridge Pipelines Inc. - application to construct and operate - Edmonton Terminal Trap Enhancement Project,Enbridge Edmonton Terminal Trap Enhancement,,4198993.0
Enbridge Pipelines Inc. - Application to Deactivate and Reactivate the Pembina Redwater Connection at Edmonton Terminal,Enbridge Pipelines Inc. - Application to Deactivat,2012-06-15 - Application to Deactivate and Reactivate the Pembina Redwater Connection at Edmonton Terminal,825644.0
Enbridge Pipelines Inc. - Application to Reactivate Pembina Nipisi Connection at the Edmonton Terminal,Enbridge-Reactivation Pembina Nipisi Connection,,4400339.0
"Enbridge pipelines Inc. - Application to Reactivate the Relief Line between Lines 5, 78B and 95 into Tank 202 at Sarnia Terminal",Tank 202 Connection at Sarnia Reactivation,,4280065.0
Enbridge Pipelines Inc. - Line 5 St. Clair River Replacement Project,Line 5 - St. Clair River Replacement,2018-07-20 Application for Line 5 St. Clair River Replacement Project (MHW-004-2019),3595939.0
Enbridge Pipelines Inc. - s. 45 OPR Application to Reactivate Tank 113 at Gretna,Tank 113 at Gretna - Reactivation,2019-11-01 Application to Reactivate Tank 113 at Gretna,3875141.0
Enbridge Pipelines Inc. - s.45 - Application to Reactivate Tank 80 Connection,Tank 80 Connection at Regina Reactivation,,3760842.0
Enbridge Pipelines Inc. (on behalf of Westover Express Pipeline Ltd) application for Mechanical and physical separation of Line 10 from the existing Enbridge assets to allow Westover Express Pipeline Ltd,Enbridge/WEX Westover Facility Project,,4108056.0
"Enbridge Pipelines Inc. Application to Deactivate the Relief Line between Lines 5, 78B and 95 into Tank 202 at Sarnia Terminal",Deactivation of Relief Line - Sarnia Terminal,"2022-07-04 - Application to Deactivate the Relief Line between Lines 5, 78B and 95 into Tank 202 at Sarnia Terminal",4236371.0
Enbridge Pipelines Inc. Application to Enbridge Pipelines Inc. Application to reactivate the Relief Line Header for Line 2 and Line 4 to Tank 116 at Enbridge’s Gretna Terminal.,Enbridge reactivate relief line tank 116 Gretna,,4411940.0
Enbridge Pipelines Inc. Line 9B Reversal and Line 9 Capacity Expansion Project,Line 9B Reversal and Capacity - valve placement,Board Orders and Compliance,2432299.0
Enbridge Pipelines Inc. Line 9B Reversal and Line 9 Capacity Expansion Project,Condition 22 - Leak Detection System Performance,,2432299.0
Enbridge Pipelines Inc. Line 9B Reversal and Line 9 Capacity Expansion Project,Enbridge Pipelines Inc. Line 9B Reversal and Line ,,890819.0
Enbridge Pipelines Inc.- Request for Extension of expiry date in Clause 5 of the Order - Deactivation of the Keyera Rimbey Connection at Edmonton Terminal MO-009-2017,Enbridge Keyera Rimbey Deactivation,2017-01-13 Application to Deactivate Keyera Rimbey Connection at Edmonton Terminal,3159716.0
"Enbridge Pipelines Inc. Request for Time Extension, Corrective Action Plan to Address Non-Compliances",Enbridge Pipelines Inc. Request for Time Extension,ESIM Migration 1300007299,7299.0
Enbridge Pipelines Inc. s 44 Application to deactivate Booster Pumps 43 and 44 at Edmonton Terminal,Deactivate Booster Pumps 43/44 @ Edmonton Terminal,,3350170.0
"Enbridge Pipelines Inc. s. 21 variance application - Line 2 Transient Mitigation at Kerrobert Project - Order XO-E101-001-2016, condition 5",Enbridge Pipelines Inc. s. 21 variance application,ESIM Migration 1300039615,39615.0
Enbridge Pipelines Inc. s. 44  OPR deactivation application - Tank 6 (EP-302-TK-6) and the Associated 42” and 48” Fill Lines at Edmonton Terminal,Tank 6 and Associated Fill Lines Deactivation,2019-04-10 Application to Deactivate Tank 6 (EP-302-TK-6) and the Associated 42” and 48” Fill Lines at Edmonton Terminal,3760273.0
Enbridge Pipelines Inc. s. 44 Application to Deactivate Plains Midstream Canada (“Plains”),Enbridge Pipelines Inc. s. 44 Application to Deact,2015-09-14 - Application to Deactivate the Plains Midstream Canada Pipeline at Kerrobert Terminal,2836975.0
Enbridge Pipelines Inc. s. 44 Application to Deactivate Redundant Facilities at Hardisty Terminal,Enbridge Pipelines Inc. s. 44 Application to Deact,2015-06-17 Application to Deactivate Redundant Facilities at Hardisty Terminal,2788821.0
Enbridge Pipelines Inc. s. 44 Application to Deactivate the Husky Connection at Hardisty Terminal,Enbridge Pipelines Inc. s. 44 Application to Deact,ESIM Migration 1300010181,10181.0
Enbridge Pipelines Inc. s. 44 OPR application to deactivate Tank 74 and fill lines at Regina Terminal,Tank 74 at Regina Terminal Deactivation,,3808434.0
Enbridge Pipelines Inc. s. 45 Application for Reactivation of the IOL Sarnia Connection at Edmonton Terminal,Reactivate the IOL Sarnia Connection,,3393691.0
Enbridge Pipelines Inc. s. 45 Application to Decommission Tank 11 at Edmonton Terminal,Enbridge Pipelines Inc. s. 45 Application to Decom,2014-12-17 Application to Decommission Tank 11 at Edmonton Terminal,2584996.0
Enbridge Pipelines Inc. s. 45 Application to Reactivate Line 3 Injection Piping at Cromer Terminal,Reactive Line 3 Injection Piping at Cromer,,3412951.0
Enbridge Pipelines Inc. s. 58 application -  Line 1 Connectivity at Gretna,Line 1 Connectivity at Gretna,2019-08-16 Application for Line 1 Connectivity at Gretna,3808962.0
Enbridge Pipelines Inc. s. 58 application - Gibsons Heavy Connection at Hardisty,Gibsons Heavy Connection at Hardisty,,3350486.0
Enbridge Pipelines Inc. s. 58 application - Line 10 Westover Segment Replacement Project,Enbridge Line 10 Westover,,3173022.0
Enbridge Pipelines Inc. s. 58 application for Line 67 Bypass at Hardisty Terminal,Enbridge Pipelines Inc. s. 58 application for Line,2015-08-20 Application for Line 67 Bypass at Hardisty,2812291.0
Enbridge Pipelines Inc. s. 58 Application for Pembina Redwater Manifold Expansion at Edmonton Terminal,Enbridge Pipelines Inc. s. 58 Application for Pemb,2016-10-06 - Application for the Pembina Redwater Manifold Expansion at Edmonton Terminal,3065672.0
Enbridge Pipelines Inc. s. 58 application for the construction and operation - Line 7 Sarnia Pipe Replacement Project,Enbridge - s58 Line 7 Sarnia Pipe Replacement,2017-04-26 Application for Line 7 Sarnia Pipeline Replacement,3254311.0
Enbridge Pipelines Inc. s. 58 application to allow Secure Energy Connection to inject crude oil into the existing Line 2 mainline at Enbridge’s Kerrobert Terminal.,Secure Energy Connection @ Kerrobert Terminal,,3333200.0
Enbridge Pipelines Inc. s. 58 Grand Rapids Increased Connectivity at Edmonton Terminal (Light Scope),Enbridge Pipelines Inc. s. 58 Grand Rapids Increas,2016-08-02 - Application for Grand Rapids Increased Connectivity at Edmonton Terminal (Light Scope),3013330.0
Enbridge Pipelines Inc.- s.58 Application for construction and operation. - Tundra Cromer Virden and Waskada Expansion Project,Enbridge - s.58 Tundra Cromer Virden Waskada Exp.,,3224044.0
Enbridge Pipelines Inc. s.58 application to install NPS 16 lateral Pipeline - Petrogas Receipt Connection Project,Petrogas Receipt Connection,2017-02-23 Application for Petrogas Receipt Connection Project,3189468.0
Enbridge Pipelines Inc. s58 Application to replace existing pipeline - Line 21 Segment Replacement Project.,Line 21 Segment Replacement,,3422672.0
"Enbridge Pipelines Inc.application for Variance, condition 5, Order XO-E101-007-2013 -Decommissioning of Redundant Facilities at Sarnia Terminal (Project).","Enbridge Pipelines Inc.application for Variance, c",2013-01-31 - Application to Decommission Redundant Sarnia Terminal Facilities,915376.0
Enbridge Pipelines Inc.s. 45 Application to Reactivate Husky Connection at Hardisty Terminal,Enbridge Pipelines Inc.s. 45 Application to Reacti,2015-06-24 Application to Reactivate Husky Connection at Hardisty Terminal,2791499.0
"Enbridge Pipelines NW Inc. (Enbridge),Condition Compliance to Safety Order SO-E102-002-2011, Line 21, Engineering Assessment","Enbridge Pipelines NW Inc. (Enbridge),Condition Co",ESIM Migration 1300007301,7301.0
"Enbridge Pipelines NW Inc. maters related to inspection frequency, Safety Order and TSB Safety Advisory for Line 21",Enbridge Pipelines NW Inc. maters related to inspe,,21010.0
Enbridge Pipelines OPR s. 44 application for Deactivation of Oil pipeline from Flint Hills,Enbridge Pipelines OPR s. 44 application for Deact,2009-03-10 Application for Deactivation of 24 Inch Crude Oil Pipeline from Flint Hills Resources to Enbridge's Hardisty Terminal,550595.0
Enbridge Pipelines s. 44 application to Decommission and Deactivate Redundant Facilities at Montreal Terminal (“the Project”),Enbridge Pipelines s. 44 application to Decommissi,2013-05-10 - Application to Decommission and Deactivate Redundant Facilities at Montreal Terminal,951478.0
Enbridge Pipelines s. 58 application  - Line 9 Replacement Project at Don River (the “Project”),Enbridge Pipelines s. 58 application  - Line 9 Rep,,948063.0
Enbridge Pipelines s. 58 application - Line 4 and 67 Transient Mitigation Project at Kerrobert,Enbridge Pipelines s. 58 application - Line 4 and ,2014-03-03 - Application for the Line 4 and 67 Transient Mitigation Project at Kerrobert,2428668.0
Enbridge Pipelines s. 58 application - Sarnia Terminal Tank 217 Project,Enbridge Pipelines s. 58 application - Sarnia Term,2013-04-24 - Application for the Sarnia Terminal Tank 217 Project,947734.0
Enbridge Pipelines s. 58 application - Tank Capacity Expansion at Cromer Terminal Project,Enbridge Pipelines s. 58 application - Tank Capaci,2013-05-03 - Enbridge Pipelines Inc. Application for the Tank Capacity Expansion at Cromer Terminal,949191.0
Enbridge Pipelines s. 58 application to construct metering facilities and associated piping at Kerrobert Terminal,Enbridge Pipelines s. 58 application to construct ,2008-09-22  - Application for Plains Line 4 Direct Connect at Kerrobert Terminal,532165.0
Enbridge Pipelines s.58 application for Line 67 Upgrades at Hardisty - Phase 2,Enbridge Pipelines s.58 application for Line 67 Up,2014-10-10 Application for Line 67 Upgrades at Hardisty - Phase 2,2526612.0
Enbridge Pipelines(NW) s. 45 OPR application to reactivate the majority of Line 21,Line 21 Reactivation,,3466500.0
Enbridge Pipelines. Notice of Motion Application for Temp Access to Certain Lands req'd for Line 3 Pipeline Replacement Project,Enbridge Pipelines. Notice of Motion Application f,,947733.0
Enbridge Plains Midstream Canada Diluent Connection,Enbridge Plains Midstream Canada Diluent Connectio,2010-17-12 - Plains Midstream Canada Diluent Connection,659024.0
Enbridge request for extension of the filing requirement of an audit pursuant to condition 3.5 of Safety Order SO-E101-003-2013.,Enbridge request for extension of the filing requi,ESIM Migration 1300008299,8299.0
Enbridge s. 21 application to vary condition 5 of Order XO-E103-006-2013 approving construction of the EPWI Steelman Terminal Metering Upgrade Project.,Enbridge s. 21 application to vary condition 5 of ,ESIM Migration 1300008301,8301.0
Enbridge s. 21.1 application Vary Board Order MO-015-2013 and 45.1 application  to decommission Line 2 at NE Anthony Henday From KP 1.6187 to KP 1.9341.,Enbridge s. 21.1 application Vary Board Order MO-0,,8375.0
Enbridge s. 44 application to Deactivate Pembina Redwater Connection at Edmonton Terminal,Enbridge s. 44 application to Deactivate Pembina R,2014-10-09 - Application to Deactivate Pembina Redwater Connection at Edmonton Terminal,2526606.0
"Enbridge s. 44 OPR application for Deactivation of Segments of Lines 7, 12 and 22 and the Bronte Lateral",Enbridge s. 44 OPR application for Deactivation of,ESIM Migration 1000042942,3317.0
Enbridge s. 44 OPR application to deactivate assets at its Kerrobert Terminal,Deactivate Connection Manifold 105/67 Kerrobert ,2017-02-28 Application to Deactivate the Pipeline Connection between Manifold 105 and Line 67 at Kerrobert Terminal,3190019.0
Enbridge s. 44 OPR application to deactivate IOL Sarnia Connection at Edmonton Terminal,Enbridge s. 44 OPR application to deactivate IOL S,,3159831.0
Enbridge s. 44 OPR application to deactivate Keyera Rimbey Connection at Edmonton Terminal,Enbridge Deactivate Keyera Rimbey Conn,2017-01-13 Application to Deactivate Keyera Ribmey Connection at Edmonton Terminal,3159716.0
Enbridge s. 44 OPR application to deactivate two approximately 200 metre long NPS 48 pipe segments and associated fittings.,Enbridge s. 44 OPR application to deactivate two a,2016-07-20 - Application to Deactivate Tank Lines at Edmonton (South) Terminal,3006267.0
Enbridge s. 44 OPR deactivation application - Tank 80 Connection at Regina Terminal,Tank 80 Connection at Regina Deactivation,2019-01-29 Application to Deactivate Tank 80 Connection at Regina Terminal,3752113.0
Enbridge s. 45 application to decommission assets at the Regina Terminal.,Enbridge s. 45 application to decommission assets ,2014-06-10 - Application to Decommission Redundant Facilities at Regina Terminal,2481298.0
Enbridge s. 45 application to Decommission Redundant Facilities at Glenboro Station (“the Project”),Enbridge s. 45 application to Decommission Redunda,2013-06-14 - Application to Decommission Redundant Facilities at Glenboro Station,963106.0
Enbridge s. 45 application to decommission redundant Facilities at the Cromer Terminal.,Enbridge s. 45 application to decommission redunda,2014-05-23 - Application to Decommission Redundant Facilities at Cromer Terminal,2478479.0
Enbridge s. 45 OPR Application to Decommission Tank 16 at Edmonton Terminal,Enbridge Tank 16 Decomm.,,3173796.0
Enbridge s. 58 application -  Eastern Access Edmonton Satellite Booster Pump and Manifold 203 Project,Enbridge s. 58 application -  Eastern Access Edmon,2013-02-22 - Application for the Eastern Access Edmonton Satellite Booster Pump and Manifold 203,925316.0
Enbridge s. 58 application - Alberta Clipper Capacity Expansion Project Phase II,Enbridge s. 58 application - Alberta Clipper Capac,,1019340.0
Enbridge s. 58 application - Cromer Terminal Booster Pump Addition Project,Enbridge s. 58 application - Cromer Terminal Boost,2013-11-15 - Application for the Cromer Terminal Booster Pump Addition Project,1062818.0
Enbridge s. 58 application  for construction - Addition of Redundant Pressure Transmitters,Enbridge s. 58 application  for construction - Add,ESIM Migration 1000037883,3068.0
Enbridge s. 58 application - Grand Rapids Connection Project,Enbridge s. 58 application - Grand Rapids Connecti,2016-04-15 - Application for the Grand Rapids Connection,2949790.0
Enbridge s. 58 application - Husky Connection Upgrade at Hardisty Terminal,Enbridge s. 58 application - Husky Connection Upgr,2014-09-09  - Application for the Husky Connection Upgrade at Hardisty Terminal,2524482.0
Enbridge s. 58 application - IPF Cold Lake West Expansion at Enbridge Edmonton Terminal,Enbridge s. 58 application - IPF Cold Lake West Ex,2014-06-24 - Application for the IPF Cold Lake West Expansion at Enbridge Edmonton Terminal,2483143.0
Enbridge s. 58 application - Line 67 Upgrades at Hardisty Terminal Project,Enbridge s. 58 application - Line 67 Upgrades at H,2014-04-04 - Application for the Line 67 Upgrades at Hardisty Terminal,2446072.0
Enbridge s. 58 application - Plains Wascana Tank 80 Project at Regina Terminal,Enbridge s. 58 application - Plains Wascana Tank 8,2013-04-30 - Application for the Plains Wascana Tank 80 Project at Regina Terminal,948803.0
Enbridge s. 58 application - Regina Terminal Tank 73 Relief Line Connection Project.,Enbridge s. 58 application - Regina Terminal Tank ,2014-02-11 - Application for the Regina Terminal Tank 73 Relief Line Connection,2421507.0
Enbridge s. 58 application - Tankage Replacement at Edmonton Terminal,Enbridge s. 58 application - Tankage Replacement a,ESIM Migration 1000038971,3156.0
Enbridge s. 58 application for Connection at Edmonton Terminal to the Kinder Morgan North 40 Project,Enbridge s. 58 application for Connection at Edmon,2007-11-01 - Connection at Edmonton Terminal to the Kinder Morgan North 40 Project,484551.0
Enbridge s. 58 application for construction - Receipt Facilities at Cromer Terminal,Enbridge s. 58 application for construction - Rece,ESIM Migration 1000038802,3138.0
Enbridge s. 58 application for construction - Refinery Transfer Facilities at Edmonton Terminal,Enbridge s. 58 application for construction - Refi,ESIM Migration 1000038683,3125.0
Enbridge s. 58 application for construction of a custody transfer metering system and associated facilities at Edmonton Terminal,Enbridge s. 58 application for construction of a c,ESIM Migration 1000043335,3350.0
Enbridge s. 58 application for Interpipe Delivery Fund Corridor Expansion at Edmonton Terminal,Enbridge s. 58 application for Interpipe Delivery ,2009-04-30 Application for Interpipe Delivery Fund Corridor Expansion at Edmonton Terminal.,555519.0
Enbridge s. 58 application for Receipt facilities for ACCE Project at Cromer Terminal,Enbridge s. 58 application for Receipt facilities ,2007-07-23 Application to Vary Order XO-E101-03-2007,473782.0
Enbridge s. 58 application for South Terminal Development at Edmonton Terminal,Enbridge s. 58 application for South Terminal Deve,ESIM Migration 1000043051,3332.0
Enbridge s. 58 application for Southern Access Expansion Program,Enbridge s. 58 application for Southern Access Exp,ESIM Migration 1000043054,3334.0
Enbridge s. 58 application for Southern Access Upstream Expansion,Enbridge s. 58 application for Southern Access Ups,"2006-06-01 - Application for the Southern Access Upstream Expansion, Stage 1A",409621.0
Enbridge s. 58 application for the Access Diluent Return Line Project at Edmonton Terminal,Enbridge s. 58 application for the Access Diluent ,ESIM Migration 1000046951,3471.0
Enbridge s. 58 application for the Southern Lights Connections Project,Enbridge s. 58 application for the Southern Lights,2009-06-05 - Application for Southern Lights Connections,559346.0
Enbridge s. 58 application- Keyera Diluent Connection at Edmonton Terminal (North) (the Project),Enbridge s. 58 application- Keyera Diluent Connect,2013-08-13 - Application for the Keyera Diluent Connection at Edmonton Terminal,997876.0
Enbridge s. 58 application -Line 11 Westover Segment Replacement Project.,Enbridge s. 58 application -Line 11 Westover Segme,,2404387.0
Enbridge s. 58 application to construct 9 projects.,Enbridge s. 58 application to construct 9 projects,ESIM Migration 1000037706,3038.0
Enbridge s. 58 Application to construct a custody transfer metering station at Cromer Station.,Enbridge s. 58 Application to construct a custody ,2008-08-21 -  Tundra Oil and Gas Dedicated LSB Connection at Cromer Terminal,526531.0
Enbridge s. 58 application to construct Line 2 Terminal Piping Modification at Tank 30,Enbridge s. 58 application to construct Line 2 Ter,2009-06-26 - Application for Line 2 Terminal Piping Modification at Tank 30,562511.0
Enbridge s. 58 application to construct two new crude oil Tanks 32 and 35 at Edmonton Terminal,Enbridge s. 58 application to construct two new cr,2007-09-26 - Application for Tanks 32 and 35 - New Meters at Edmonton Terminal,479099.0
Enbridge s. 58 North South Connection Project,Enbridge s. 58 North South Connection Project,2014-10-31 - Application for the North South Connection Project,2544444.0
Enbridge s. 74 (1)(a) application to transfer ownership of a segment of Enbridge pipeline to Gibson Energy Partnership at Enbridge’s Hardisty Terminal.,Enbridge s. 74 (1)(a) application to transfer owne,2015-09-28 Application for Transfer Ownership of a Segment of Enbridge to Gibson Energy Partnership at Hardisty Terminal,2882703.0
Enbridge s. 74 application to sell a portion of a deactivated pipeline to Valero Energy Inc.,Enbridge s. 74 application to sell a portion of a ,2014-02-18 - Application to Transfer Ownership of Deactivated Piping in Montreal East to Valero Energy Inc.,2428534.0
Enbridge S.44 OPR application to Deactivate the Joarcam Connection at Edmonton Terminal.,Enbridge S.44 OPR application to Deactivate the Jo,2015-01-30 Application to Deactivate the Joarcam Connection at Edmonton Terminal,2671514.0
Enbridge s.45 application to decommission a section of Line 12 at 16 Mile Creek.,Decommission a section of Line 12 at 16 Mile Creek,,3225035.0
Enbridge s.45 Application to decommission redundant Sarnia Terminal Facilities,Enbridge s.45 Application to decommission redundan,2013-01-31 - Application to Decommission Redundant Sarnia Terminal Facilities,915376.0
Enbridge s.58 application - Line 7 Capacity Expansion Project,Enbridge s.58 application - Line 7 Capacity Expans,2013-06-05 - Application for the Line 7 Capacity Expansion Project,961593.0
Enbridge Southern Lights s. 47 Leave to Open application for the LSr PIpeline.,Enbridge Southern Lights s. 47 Leave to Open appli,ESIM Migration 1000048323,3631.0
Enbridge Westpur s. 45 Application to Decommission Redundant Facilities at Midale Terminal,Enbridge Westpur s. 45 Application to Decommission,2013-11-22 - Application to Decommission Redundant Facilities at Midale Terminal,2376993.0
"Enbridge, s. 58 application - Tank 116 Relief Line Installation Project","Enbridge, s. 58 application - Tank 116 Relief Line",2013-02-14 - Application for Tank 116 Relief Line Installation,919195.0
Enbridge. 21 application to vary the Order XO-E101-021-2013 which approved the construction of Tank 80 at Regina Terminal.,Enbridge. 21 application to vary the Order XO-E101,ESIM Migration 1300008241,8241.0
Enbridge’s request to lift the pressure restriction imposed by Paragraph 1 of Safety Order SO-E101-04-2010.,Enbridge’s request to lift the pressure restrictio,ESIM Migration 1300007481,7481.0
Enbridge’s request to vary Condition 5 of Order XO-E101-002-2014,Enbridge’s request to vary Condition 5 of Order XO,ESIM Migration 1300008256,8256.0
EnCana Corporation - s.74(1)(d) - Leave to Abandon Application - Deep Panuke Offshore Gas Development - (HEARING),Encana Deep Panuke Abandonment,Board Order and Compliance,3781561.0
Encana Corporation Notification of Name Change from Encana Corporation to Ovintiv Canada ULC,Encana to Ovintiv - Mid-Tupper Sweet Gas Lines,,3901221.0
EnCana s. 58 application for construction of Mid-Tupper Pipelines,EnCana s. 58 application for construction of Mid-T,ESIM Migration 1000038238,3097.0
EnCana s. 58 application for construction of Tupper South Pipeline Loop.,EnCana s. 58 application for construction of Tuppe,ESIM Migration 1000038168,3085.0
Enercapita Energy Ltd. application to change direction of flow,Enercapita - Change of direction - Pipeline 2,,4152257.0
Enercapita Energy Ltd. application to deactivate the Boundary Lake Pipeline,Boundary Lake PL #4 Deactivation,2021-09-21 - Application to Deactivate Enercapita Pipeline,4152039.0
Enermark s. 58 application for construction of Shekilie Gas Pipeline,Enermark s. 58 application for construction of She,ESIM Migration 1000038731,3128.0
Enerplus Corp s. 74 (1) (d) application for Abandonment of the Maple Creek Pipeline from 11-36-011-01 W4 to 08-02-012-30 W3 which crosses the Alberta-Saskatchewan border,Enerplus Corp s. 74 (1) (d) application for Abando,,959372.0
Enhancement of a SCADA Advisory System,Enhancement of a SCADA Advisory System,2002-08-30 Application for 2002 Construction - No. 10 - Enhancement of a SCADA Advisory System,234897.0
Environment Sampling at 3 Compressor Plants,Environment Sampling at 3 Compressor Plants,2003-01-28 Application for 2003 Construction No. 4 - Environmental Sampling at Three Compressor Plants,258236.0
Environmental Sampling,Environmental Sampling,2003-07-03 - Application for 2003 Construction No. 16 - Environmental Sampling at Compressor Station 92,285528.0
Environmental Sampling at 10 Compressor Plants,Environmental Sampling at 10 Compressor Plants,2003-01-22 Application for 2003 Construction No. 3 - Environmental Sampling at Ten Compressor Plants,257561.0
EPWI Steelman Terminal Modifications Project sec.58,EPWI Steelman Terminal Modifications Project sec.5,2012-06-16 - Application for the EPWI Steelman Terminal Modifications Project,827401.0
"Excavate, Inspect & Recoat Pipe Section Zone 8","Excavate, Inspect & Recoat Pipe Section Zone 8","2003-03-13 Application to Excavate, Inspect and Recoat Pipe Section in Zone 8",268332.0
Exemption for 2003 Capital Expenditures,Exemption for 2003 Capital Expenditures,ESIM Migration 1000030271,2486.0
Export Electricity for a period of 10 years,Export Electricity for a period of 10 years,,624699.0
Export of Power for a Period of 10 Years,Export of Power for a Period of 10 Years,2010-02-25 Application to export electricity,601913.0
Express Pipeline Capacity Expansion,Express Pipeline Capacity Expansion,2003-12-23 Application for Pipeline Capacity Expansion,307074.0
Express Pipeline Ltd s. 58 Application for Oil Storage Tank at Hardisty Alberta,Express Pipeline Ltd s. 58 Application for Oil Sto,2015-03-30 - Application for the Hardisty Tank Addition Project,2748208.0
